Name,,Location,din_rev,del_rev,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,home_delivery,offers_dining,avg_din_rate,avg_del_rate
DCT Tadka,,Malviya Nagar,513 Dining Reviews,10.4K Delivery Reviews,Quick Bites ,"North Indian, Chinese, Fast Food, Beverages",850,no,no,yes,yes,4,3.8
DCT Tadka Restaurant,,Raja Park,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Chinese",300,yes,no,yes,yes,,
DDC Cafe - Deshi Dosta Da Cafe,,Sanganer,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Chinese, Fast Food, Beverages",200,yes,no,yes,yes,,
De Novo Hotel & Restaurant,,Kukas,28 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, South Indian, Chinese, Fast Food",300,yes,no,yes,yes,2.7,
De Thali,,Mansarovar,926 Dining Reviews,46.4K Delivery Reviews,Casual Dining ,"North Indian, Biryani",550,yes,no,yes,yes,4.2,3.7
De Thali,,Shastri Nagar,55 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,450,no,no,yes,yes,3.7,
Decked Up By Garden Cafe,,Vaishali Nagar,"1,526 Dining Reviews",767 Delivery Reviews,"CAFÉ, Casual Dining ","Cafe, Fast Food, North Indian, South Indian, Italian, Continental","1,200",yes,no,yes,yes,4.4,3.8
Dee Bite Bakeology,,Pink City,Not enough Dining Reviews,Does not offer Delivery,,Fast Food,300,yes,no,no,yes,,
Deep Dhaba,,Sindhi Camp,46 Dining Reviews,364 Delivery Reviews,Dhaba ,North Indian,450,no,no,yes,yes,3.6,4
Deepak Hotel And Restaurant,,Sikar Road,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Street Food, North Indian, South Indian",300,yes,no,yes,yes,,
Deepak Sharma Hotel,,Malviya Nagar,12 Dining Reviews,60 Delivery Reviews,Quick Bites ,North Indian,200,yes,no,yes,yes,3.2,2.8
Degchi Non Veg Take Away,,Mansarovar,Does not offer Dining,572 Delivery Reviews,,"North Indian, Chinese",400,no,no,yes,no,,3
Dejavu Cafe and Kitchen,,Jagatpura,263 Dining Reviews,"4,247 Delivery Reviews",CAFÉ ,"Cafe, Chinese",600,yes,no,yes,yes,4.1,3
Delhi 1st Restaurant,,Kukas,27 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Chinese, South Indian",350,no,no,yes,yes,3,
Delhi 6 Ke Paranthe,,Malviya Nagar,Does not offer Dining,Not enough Delivery Reviews,,North Indian,200,no,no,yes,no,,
Delhi Chaat & Cafe,,Adarsh Nagar,13 Dining Reviews,Does not offer Delivery,Quick Bites ,Street Food,150,yes,no,no,yes,2.8,
Delhi Chat Bhandar,,Bani Park,Does not offer Dining,"1,729 Delivery Reviews",,"Street Food, Fast Food",300,yes,no,yes,no,,3.2
Deli Shop - Crowne Plaza Jaipur,,Sitapur,5 Dining Reviews,Does not offer Delivery,Bakery ,Bakery,800,no,no,no,yes,3.1,
Delicious Cafe,,C Scheme,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, North Indian",250,yes,no,yes,yes,,
Delicious Food,,Ajmer Highway,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Fast Food",150,no,no,yes,no,,
Delicious Kulfi,,Malviya Nagar,Not enough Dining Reviews,Does not offer Delivery,Dessert Parlor ,Ice Cream,100,yes,no,no,yes,,
Delicious Meal,,Mansarovar,Does not offer Dining,356 Delivery Reviews,,North Indian,200,no,no,yes,no,,3.5
Delight Bakery,,Shyam Nagar,Does not offer Dining,30 Delivery Reviews,Bakery ,Bakery,300,no,no,yes,no,,3.9
Delight Restaurant,,Malviya Nagar,Not enough Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Chinese, Fast Food",800,yes,no,yes,yes,,
Deliwich,,Raja Park,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Beverages",500,yes,no,yes,yes,,
Delta Chat & Food,,C Scheme,45 Dining Reviews,537 Delivery Reviews,Quick Bites ,"North Indian, Fast Food, Beverages",400,yes,no,yes,yes,3.5,4
Delta Chat & Food,,Bapu Nagar,Does not offer Dining,301 Delivery Reviews,Kiosk ,Street Food,200,no,no,yes,no,,3.8
Den - The Bar,,Gopalbari,6 Dining Reviews,Does not offer Delivery,Bar ,Finger Food,"2,000",no,yes,no,yes,3,
Densa Cafe & Lounge,,Mansarovar,11 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Fast Food, Chinese, South Indian, Beverages, Street Food",400,yes,no,yes,yes,3.4,
Desert Chicken,,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,North Indian,300,no,no,yes,no,,
Deshii Handi,,Sitapur,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,300,no,no,yes,yes,,
Desi Bistro,,Pratap Nagar,570 Dining Reviews,"2,377 Delivery Reviews",Quick Bites ,"Fast Food, Chinese",300,yes,no,yes,yes,4.1,3.6
Desi Chinese Corner,,Mansarovar,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Chinese, Fast Food",400,no,no,yes,yes,,
Desi Delight,,Malviya Nagar,Does not offer Dining,28 Delivery Reviews,,"North Indian, Fast Food, Chinese",350,no,no,yes,no,,3.8
Desi Dhaba,,Khatipura Road,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,300,yes,no,no,yes,,
Desi Dhaba,,Pratap Nagar,Does not offer Dining,65 Delivery Reviews,,"North Indian, Chinese, Fast Food",250,no,no,yes,no,,3.5
Desi Dhaba.Com,,Malviya Nagar,22 Dining Reviews,"1,309 Delivery Reviews",Quick Bites ,North Indian,300,no,no,yes,yes,2.6,3.4
Desi Firangi,,Ajmer Highway,16 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, South Indian, Chinese",350,yes,no,yes,yes,3.2,
Desi Ghee Paratha Centre,,Shastri Nagar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,100,no,no,no,yes,,
Desi Halwai,,Jhotwara,20 Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, Rajasthani",300,yes,no,no,yes,3.7,
Desi Junction,,Shyam Nagar,4 Dining Reviews,69 Delivery Reviews,Quick Bites ,"Street Food, North Indian",150,yes,no,yes,yes,3.1,3.9
Desi Meat Take Away,,Mansarovar,Does not offer Dining,62 Delivery Reviews,,"North Indian, Chinese",650,no,no,yes,no,,3.5
Desi Nawab,,Jagatpura,Does not offer Dining,40 Delivery Reviews,,"North Indian, Chinese, Fast Food",450,no,no,yes,no,,3.9
Desi Non Veg,,Malviya Nagar,Does not offer Dining,790 Delivery Reviews,,"Rajasthani, North Indian",300,no,no,yes,no,,3.2
Desi Sabji,,South Jaipur,Does not offer Dining,Not enough Delivery Reviews,,Rajasthani,200,no,no,yes,no,,
Desi Tadka,,Mansarovar,6 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Chinese, Fast Food, Desserts, Beverages",300,no,no,yes,yes,3.2,
Desi Tadka,,Mansarovar,Does not offer Dining,665 Delivery Reviews,,Street Food,100,yes,no,yes,no,,3.2
Desi Tadka,,Pratap Nagar,Does not offer Dining,73 Delivery Reviews,,"North Indian, Chinese, Momos",400,no,no,yes,no,,2.5
Desi Tadka,,Jagatpura,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,Fast Food,200,no,no,yes,yes,,
Desi Tadka,,South Jaipur,Not enough Dining Reviews,Not enough Delivery Reviews,,"North Indian, Fast Food",300,no,no,yes,yes,,
Desi Thali Wala,,Malviya Nagar,Does not offer Dining,281 Delivery Reviews,,"North Indian, Fast Food, Chinese",450,no,no,yes,no,,3.7
Desi Thath Bhojnalaya,,Jhotwara,140 Dining Reviews,312 Delivery Reviews,Casual Dining ,North Indian,500,yes,no,yes,yes,3.7,3.9
Desi Thath Bhojnalaya,,Vaishali Nagar,Does not offer Dining,Not enough Delivery Reviews,,North Indian,550,no,no,yes,no,,
Desi Thath Dhaba,,Jhotwara,187 Dining Reviews,"7,324 Delivery Reviews",Quick Bites ,"North Indian, Fast Food, Beverages",500,yes,no,yes,yes,3.7,3.5
Desisthan,,C Scheme,49 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Rajasthani, Beverages",250,yes,no,yes,yes,3.7,
Dessert Drama,,Durgapura,10 Dining Reviews,Does not offer Delivery,Dessert Parlor ,"Desserts, Ice Cream",300,yes,no,no,yes,3.4,
Dev Food Corner,,Sikar Road,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, Street Food",100,yes,no,no,yes,,
Dev Hotel,,MI Road,132 Dining Reviews,"2,446 Delivery Reviews",Quick Bites ,"North Indian, Chinese",500,no,no,yes,yes,3.8,3.7
Dev Restaurant,,Pratap Nagar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, Chinese",350,no,no,no,yes,,
Dev Tadka Dhaba,,Raja Park,20 Dining Reviews,118 Delivery Reviews,Quick Bites ,"North Indian, Chinese, Rajasthani",300,yes,no,yes,yes,3.5,3.9
Devashish Fast Food,,Jawahar Nagar,18 Dining Reviews,81 Delivery Reviews,Quick Bites ,"Fast Food, Street Food",200,no,no,yes,yes,3.7,3.9
Devi Paan Bhandar,,Amer Road,Not enough Dining Reviews,Does not offer Delivery,Paan Shop ,Paan,100,no,no,no,yes,,
Devi South Indian Fast Food Center,,Brahmpuri,Does not offer Dining,Not enough Delivery Reviews,Kiosk ,South Indian,200,yes,no,yes,no,,
Devthaal Restaurant,,Sindhi Camp,6 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Fast Food, Chinese",800,yes,no,yes,yes,3.3,
Dexter Ka Cafe,,Khatipura Road,63 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Sandwich, Pizza, Burger",200,no,no,yes,yes,3.9,
D'good Cafe,,Bani Park,21 Dining Reviews,92 Delivery Reviews,Quick Bites ,"Continental, Fast Food, North Indian, Beverages",800,yes,no,yes,yes,2.7,3.7
Dhaba 99,,Malviya Nagar,24 Dining Reviews,82 Delivery Reviews,Dhaba ,"North Indian, Chinese, Fast Food",650,yes,no,yes,yes,3,3.1
Dhaba Express,,Mansarovar,609 Dining Reviews,"1,858 Delivery Reviews",Dhaba ,North Indian,450,yes,no,yes,yes,3.7,3.2
Dhaba Express,,Pratap Nagar,15 Dining Reviews,285 Delivery Reviews,Quick Bites ,North Indian,500,no,no,yes,yes,2.9,3.7
Dhaba Junction,,Vaishali Nagar,25 Dining Reviews,Not enough Delivery Reviews,Dhaba ,"North Indian, Chinese, Mughlai",350,no,no,yes,yes,3.5,
Dhaba Kulture,,Vaishali Nagar,635 Dining Reviews,"1,339 Delivery Reviews",Casual Dining ,"North Indian, Chinese, Fast Food, Beverages",600,yes,no,yes,yes,4.1,3.9
Dhabawalaz,,Pratap Nagar,Does not offer Dining,873 Delivery Reviews,,"North Indian, Chinese",350,yes,no,yes,no,,3.3
Dhakad Samosa's & Sweet Caters,,Sikar Road,Does not offer Dining,300 Delivery Reviews,"Sweet Shop, Quick Bites ","Mithai, Street Food",250,yes,no,yes,no,,4.4
Dhani RJ23,,Sikar Road,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, Chinese",300,yes,no,no,yes,,
Dhanlaxmi Pavitra Bhojnalaya,,Sitapur,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,250,yes,no,yes,yes,,
Dhanna's Veg Restaurant,,Sanganer,16 Dining Reviews,70 Delivery Reviews,Casual Dining ,"North Indian, South Indian",550,yes,no,yes,yes,2.7,3.6
Dhanusti Mini Restaurant,,Hasanpura,6 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"South Indian, Chinese",250,no,no,yes,yes,3.6,
Dhola Maru - Hotel Clarks Amer,,Malviya Nagar,143 Dining Reviews,Not enough Delivery Reviews,Fine Dining ,"Mughlai, Rajasthani, North Indian, Kebab","3,000",no,yes,yes,yes,3.7,
Dhola Maru Non Veg,,Tonk Road,13 Dining Reviews,66 Delivery Reviews,Quick Bites ,North Indian,400,no,no,yes,yes,3.4,3
Dhruvtara,,Khatipura Road,8 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,North Indian,700,no,no,yes,yes,3.2,
Dhuaan,,C Scheme,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Rajasthani",600,no,no,yes,yes,,
Diet Capital,,Malviya Nagar,Does not offer Dining,37 Delivery Reviews,,North Indian,200,no,no,yes,no,,3.4
Diet Wala,,Malviya Nagar,Does not offer Dining,973 Delivery Reviews,Quick Bites ,Healthy Food,200,yes,no,yes,no,,3.7
Diet4Fitness,,Vaishali Nagar,11 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Fast Food",400,no,no,yes,yes,3.2,
Dietolicious,,Malviya Nagar,Does not offer Dining,76 Delivery Reviews,Quick Bites ,"Chinese, North Indian",400,no,no,yes,no,,3.7
Diksha Food Point,,Sodala,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Rajasthani",500,no,no,yes,no,,
Dilli Flakes Restro,,Mansarovar,62 Dining Reviews,172 Delivery Reviews,Quick Bites ,"North Indian, Fast Food, Chinese, Street Food, Rajasthani, Mughlai",700,no,no,yes,yes,3.4,3.6
Dine Divine Restaurant,,Mansarovar,63 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Chinese, South Indian, Continental",700,yes,no,yes,yes,3.9,
Diner Club Restaurant,,South Jaipur,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Fast Food, Street Food",300,no,no,yes,no,,
Dinesh Bhojnalaya,,Pink City,8 Dining Reviews,Does not offer Delivery,Dhaba ,North Indian,200,yes,no,no,yes,3.6,
Ding Dong Chinese Point,,Jawahar Nagar,Does not offer Dining,62 Delivery Reviews,,"Chinese, Fast Food",200,yes,no,yes,no,,3.3
Dinner Party Restaurant,,Lal Kothi,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Chinese",500,yes,no,yes,yes,,
Distil,,Mansarovar,5 Dining Reviews,Does not offer Delivery,Bar ,Finger Food,"1,100",no,yes,no,yes,2.6,
Diva Restaurant,,Khatipura Road,40 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Chinese, Continental",800,no,no,yes,yes,3.5,
Diva Tiffin Center,,Khatipura Road,Does not offer Dining,Not enough Delivery Reviews,,North Indian,200,no,no,yes,no,,
Divine Cakes & Fast Food,,Pratap Nagar,Does not offer Dining,92 Delivery Reviews,Bakery ,Bakery,350,no,no,yes,no,,3.9
Divine Dine UK,,Malviya Nagar,5 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,450,no,no,yes,yes,2.8,
Divyanshi's Kitchen,,Mansarovar,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"South Indian, Fast Food, Chinese, Beverages",450,no,no,yes,yes,,
DJ Kitchenette,,Jagatpura,15 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,200,no,no,yes,yes,3.4,
DK Roll Chowmein Centre,,Vaishali Nagar,Does not offer Dining,44 Delivery Reviews,,"Chinese, Rolls",250,no,no,yes,no,,3.9
DMB Restaurant,,Bani Park,"1,208 Dining Reviews",Does not offer Delivery,Casual Dining ,North Indian,700,yes,no,no,yes,4.3,
D'minions Cafe,,Tonk Phatak,44 Dining Reviews,216 Delivery Reviews,Quick Bites ,"Fast Food, Pizza, Beverages",400,yes,no,yes,yes,3.4,3
DND Bar & Lounge,,Sindhi Camp,94 Dining Reviews,Does not offer Delivery,"Bar, Lounge ","Bar Food, North Indian, Fast Food, Beverages","1,100",no,yes,no,yes,3,
Do Pal,,Malviya Nagar,4 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,400,no,no,yes,yes,3,
Do Pal Restaurant,,Vaishali Nagar,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,250,no,no,yes,yes,,
DOJO By Arisan Food Factory,,Central Jaipur,Does not offer Dining,106 Delivery Reviews,,"Asian, Sushi","1,000",no,no,yes,no,,4.3
Domino's Pizza,,C Scheme,"1,265 Dining Reviews","9,339 Delivery Reviews",Quick Bites ,"Pizza, Fast Food",700,no,no,yes,yes,3.4,3.6
Doodh Misthan Bhandar,,Bani Park,"1,436 Dining Reviews",Does not offer Delivery,Quick Bites ,"Fast Food, South Indian, Beverages",450,yes,no,no,yes,4.3,
Doorbeen Restaurant,,Tonk Road,462 Dining Reviews,204 Delivery Reviews,Casual Dining ,"Italian, North Indian, Mexican",850,yes,no,yes,yes,4.1,3.5
Dosa & More,,Shyam Nagar,5 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,South Indian,300,no,no,yes,yes,3.1,
Dosa Affair,,Vaishali Nagar,118 Dining Reviews,269 Delivery Reviews,Quick Bites ,"South Indian, Fast Food",300,yes,no,yes,yes,3.9,4
Dosa City,,Malviya Nagar,Does not offer Dining,665 Delivery Reviews,,"South Indian, North Indian, Chinese, Fast Food, Street Food, Beverages",400,no,no,yes,no,,3.3
Dosa Point,,Mansarovar,104 Dining Reviews,942 Delivery Reviews,Quick Bites ,South Indian,200,yes,no,yes,yes,4,4
Dosa Seth,,Malviya Nagar,22 Dining Reviews,Does not offer Delivery,Quick Bites ,South Indian,250,yes,no,no,yes,3.3,
Dosaka - Taste of South,,C Scheme,141 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"South Indian, Beverages",500,yes,no,yes,yes,4,
Double Vision - The Byke Grassfield Resort,,Shyam Nagar,4 Dining Reviews,Does not offer Delivery,Bar ,"Finger Food, North Indian","1,300",yes,yes,no,yes,3.4,
Doughmato,,Malviya Nagar,100 Dining Reviews,"1,182 Delivery Reviews",Quick Bites ,"Pizza, Fast Food",500,yes,no,yes,yes,3.5,3.4
Down To Earth Cafe,,Jagatpura,8 Dining Reviews,57 Delivery Reviews,Quick Bites ,"Chinese, Pizza, Burger",400,no,no,yes,yes,2.8,2.9
Down Town,,Malviya Nagar,76 Dining Reviews,134 Delivery Reviews,CAFÉ ,"Cafe, Chinese, North Indian",600,no,no,yes,yes,3.3,3.5
Down Town Cafe Lounge,,Malviya Nagar,41 Dining Reviews,Not enough Delivery Reviews,CAFÉ ,"Cafe, Italian, Fast Food, Continental",600,yes,no,yes,yes,3,
DP3 Fast Food and Bhojnalya,,Mansarovar,39 Dining Reviews,233 Delivery Reviews,Quick Bites ,"North Indian, Chinese",300,yes,no,yes,yes,3.6,4
Dragon Chinese Food Corner,,Malviya Nagar,10 Dining Reviews,Does not offer Delivery,Quick Bites ,"Chinese, Fast Food, Beverages",400,yes,no,no,yes,2.9,
Dragon Hut,,Gopalbari,43 Dining Reviews,58 Delivery Reviews,Casual Dining ,"Chinese, Thai, Momos, Seafood","1,100",no,no,yes,yes,3,3.9
Dream Bean Cafe,,Mansarovar,15 Dining Reviews,32 Delivery Reviews,Quick Bites ,"North Indian, Chinese, Beverages",350,no,no,yes,yes,3.4,2.5
Dream Cafe Saras Parlour Restaurant,,Jagatpura,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Fast Food",250,no,no,yes,yes,,
Dream Restaurant,,Sanganer,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, Fast Food",550,yes,no,no,yes,,
Dreamscape,,Vaishali Nagar,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Chinese, Fast Food, Beverages",450,no,no,yes,yes,,
Drop Zone,,Malviya Nagar,30 Dining Reviews,Does not offer Delivery,Bar ,"Bar Food, North Indian",900,no,yes,no,yes,2,
Dudes N Divas,,Malviya Nagar,19 Dining Reviews,Not enough Delivery Reviews,Lounge ,North Indian,"2,300",no,yes,yes,yes,3.3,
Durbar - Hotel Clarks Amer,,Malviya Nagar,41 Dining Reviews,Not enough Delivery Reviews,Fine Dining ,"North Indian, Continental","2,000",no,yes,yes,yes,3.3,
Durgadas Chaat Bhandar,,Adarsh Nagar,78 Dining Reviews,124 Delivery Reviews,Quick Bites ,Street Food,150,yes,no,yes,yes,4,4.5
Dwarika,,Mansarovar,57 Dining Reviews,Does not offer Delivery,Casual Dining ,North Indian,600,yes,no,no,yes,3.5,
Dwarka Sweets,,Vidhyadhar Nagar,Does not offer Dining,284 Delivery Reviews,Sweet Shop ,Mithai,100,yes,no,yes,no,,4
Dzurt Patisserie and Cafe,,Civil Lines,431 Dining Reviews,287 Delivery Reviews,"CAFÉ, Bakery ","Cafe, Bakery",600,no,no,yes,yes,4.3,4.1
Eat Homely,,Ajmer Highway,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, Chinese",300,no,no,no,yes,,
Eat Homely,,Ajmer Highway,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, Chinese",300,no,no,no,yes,,
Eat N Treat,,Bais Godam,26 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,300,yes,no,yes,yes,3.4,
Eat Punjab,,Sodala,49 Dining Reviews,"1,682 Delivery Reviews",Casual Dining ,North Indian,800,no,no,yes,yes,3.4,3.6
EATastic,,Shyam Nagar,9 Dining Reviews,Does not offer Delivery,Casual Dining ,"Fast Food, Chinese, North Indian",650,no,no,no,yes,3.5,
Eatology,,Jawahar Nagar,89 Dining Reviews,482 Delivery Reviews,Quick Bites ,North Indian,300,no,no,yes,yes,3.7,4.2
Eatosa,,South Jaipur,Does not offer Dining,"2,478 Delivery Reviews",,"Fast Food, North Indian",400,no,no,yes,no,,3.4
Eats And Treat Cafe,,Sikar Road,34 Dining Reviews,269 Delivery Reviews,Quick Bites ,"Fast Food, Pizza, Beverages",300,yes,no,yes,yes,3.5,3.7
Eats And Treats,,Jhotwara,20 Dining Reviews,560 Delivery Reviews,Quick Bites ,"South Indian, Chinese, Fast Food",300,yes,no,yes,yes,3.4,4
Eden Restaurant,,Agra Road,30 Dining Reviews,62 Delivery Reviews,Casual Dining ,"Fast Food, North Indian",450,no,no,yes,yes,2.7,3.2
Edge Vedge,,Tonk Phatak,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, North Indian",300,no,no,yes,yes,,
Egg Baba,,Tonk Phatak,Does not offer Dining,38 Delivery Reviews,,Fast Food,250,no,no,yes,no,,3.9
Egg Curry Take Away,,Mansarovar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,450,no,no,no,yes,,
Egg Dee Sanjay Omelette,,Vaishali Nagar,35 Dining Reviews,294 Delivery Reviews,Quick Bites ,"Fast Food, North Indian, Rolls",500,no,no,yes,yes,3.5,3.9
Egg Dee Sanjay Restaurant,,Pratap Nagar,13 Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, Fast Food",500,no,no,no,yes,3.4,
Egg Express,,Vaishali Nagar,Does not offer Dining,"1,132 Delivery Reviews",,"Fast Food, North Indian",200,no,no,yes,no,,3.6
Egg Farm,,Sanganer,Does not offer Dining,133 Delivery Reviews,,"North Indian, Fast Food",400,no,no,yes,no,,3.5
Egg Fort,,Gopalpura,74 Dining Reviews,"1,885 Delivery Reviews",Quick Bites ,"North Indian, Fast Food",200,no,no,yes,yes,3.8,3.9
Egg Junction,,Vidhyadhar Nagar,32 Dining Reviews,654 Delivery Reviews,Quick Bites ,"North Indian, Fast Food",500,no,no,yes,yes,3.5,3.4
Egg Junction,,Tonk Phatak,34 Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, Street Food",200,no,no,no,yes,3.2,
Egg Maharaja,,Jhotwara,34 Dining Reviews,Does not offer Delivery,"Quick Bites, Casual Dining ","Pizza, Burger, Fast Food",300,no,no,no,yes,,
Egg Planet,,Lal Kothi,Not enough Dining Reviews,Does not offer Delivery,Kiosk ,"Fast Food, Street Food",150,no,no,no,yes,,
